time,DAYTOTAL_DG01LW01,DAYTOTAL_DG01LW02,DAYTOTAL_DG01LW03,DAYTOTAL_DG01LW05,DAYTOTAL_DG01LW06,DAYTOTAL_DG01LW07,DAYTOTAL_DG01LW08,DAYTOTAL_DG01LW09,DAYTOTAL_DG01LW10,DAYTOTAL_DG01LW11,DAYTOTAL_DG02LW01,DAYTOTAL_DG02LW02,DAYTOTAL_DG02LW03,DAYTOTAL_DG02LW05,DAYTOTAL_DG02LW06,DAYTOTAL_DG02LW07,DAYTOTAL_DG02LW08,DAYTOTAL_DG02LW09,DAYTOTAL_DG02LW10,DAYTOTAL_DG02LW11,PU01FT01,DG02PT01,DG02PT02,DG02TT01,DG02LT01,DG01PT02,DG01TT01,DG01PT01,DG01LT01,AD01TT02,AD01LT01,AD01LT02,AD01TT01,AD01PT01,DA01FT03,DG01M01_RIGHT,DG01M01_LEFT,DG02M01_RIGHT,DG02M01_LEFT,AD01M01_RIGHT,AD01M02_RIGHT,AD01M03_RIGHT,Biogas H2S voor koolfilters,Biogas H2S tussen koolfilters,Biogas CH4,Biogas H2S na koolfilters,Biogas O2,Biogas CO2,Biomethaan CH4,Biomethaan N2,Biomethaan O2,Biomethaan CO2,Biomethaan flow,LW01TT01,LW01LT01,LW02TT01,LW02LT01,LW03TT01,LW03LT01,LW05LT01,LW05TT01,LW06LT01,LW06TT01,LW07LT01,LW07TT01,LW08LT01,LW08TT01,LW09LT01,LW09TT01,LW10LT01,LW10TT01,LW11LT01,LW11TT01
2021-11-01 00:04:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.31,1.56,0.2,8.93,992.57,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:09:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.0,17.17,66.87,1.43,0.17,32.75,89.28,1.55,0.2,8.97,998.2,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:14:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.19,1.56,0.21,9.05,998.81,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:19:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25,1.55,0.2,9.0,1004.35,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:24:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,66.85,1.43,0.17,32.76,89.29,1.55,0.2,8.97,1021.67,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:29:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.28,1.52,0.2,8.99,1034.89,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:34:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.39,1.52,0.2,8.89,1048.27,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:39:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,66.84,1.43,0.17,32.82,89.27,1.53,0.2,9.0,1049.0,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:44:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.27,1.52,0.2,9.01,1035.24,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:49:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.17,1.53,0.21,9.09,1022.62,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:54:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,66.81,1.43,0.16,32.86,89.32,1.53,0.2,8.94,1005.45,,,,,,,,,,,,,,,,,,,,
2021-11-01 00:59:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.24,1.53,0.2,9.02,1000.19,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:04:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.14,1.54,0.2,9.12,997.49,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:09:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.0,17.17,66.75,1.43,0.17,32.86,89.23,1.53,0.2,9.05,994.81,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:14:00,,,,,,,,,,,,,,,,,,,,,23.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.15,1.55,0.2,9.09,966.39,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:19:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.19,1.57,0.21,9.03,965.3,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:24:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,66.77,1.43,0.17,32.89,89.15,1.5,0.2,9.14,956.19,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:29:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.18,1.5,0.21,9.11,951.39,,,,,,,,,,,,,,,,,,,,
2021-11-01 01:34:00,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.07,1.65,0.21,9.07,934.73,,,,,,,,,,,,,,,,,,,,
