Date,Vol,Voldif,Feed,pH,TA,PA,IA,FOS/TAC,DS,COD,CO2,CH4
20-1-2020 08:00,68.39,0,100,8.134,23.989,15.363,8.051,0.524,8.39,46.310,57,43
21-1-2020 08:00,69.786,1.396,100,8.125,29.098,15.848,12.341,0.779,7.37,59.240,52,48
22-1-2020 08:00,71.63,1.844,150,8.07,21.808,16.372,4.994,0.305,7.75,56.055,53,47
23-1-2020 08:00,73.876,2.246,150,8.026,21.019,16.093,4.270,0.265,6.82,44.260,54,46
24-1-2020 08:00,76.584,2.708,200,8.104,19.804,15.370,4.138,0.269,6.44,51.380,55.7,44.3
25-1-2020 08:00,79.168,2.584,0,,,,,,,,,
26-1-2020 08:00,81.752,2.584,0,,,,,,,,,
27-1-2020 08:00,84.336,2.584,610,7.994,18.230,15.087,2.892,0.192,5.04,41.104,55,45
28-1-2020 08:00,88.142,3.806,610,7.951,15.271,12.271,2.454,0.200,4.42,40.550,62.4,37.6
29-1-2020 08:00,93.19,5.048,915,7.868,14.104,10.813,2.880,0.266,3.91,36.440,60,40
30-1-2020 08:00,101.124,7.934,915,7.782,13.085,8.640,3.757,0.435,3.88,39.814,68.6,31.4
31-1-2020 08:00,109.724,8.600,1220,7.538,11.760,6.845,4.212,0.615,3.67,38.440,71,29
1-2-2020 08:00,116.8973333,7.173,0,,,,,,,,,
2-2-2020 08:00,124.0706667,7.173,0,,,,,,,,,
3-2-2020 08:00,131.244,7.173,610,7.166,10.939,4.309,5.414,1.256,3.79,27.625,75,25
4-2-2020 08:00,137.43,6.186,610,7.105,10.303,3.724,5.462,1.467,3.63,37.550,69,31
5-2-2020 08:00,140.331,2.901,0,,,,,,,,,
6-2-2020 08:00,143.232,2.901,0,7.01,13.704,4.983,6.645,1.333,3.75,38.470,69.9,30.1
7-2-2020 08:00,149.38,6.148,0,6.94,10.664,3.393,6.180,1.821,4.43,43.630,65,35
8-2-2020 08:00,159.4873333,10.107,0,,,,,,,,,
9-2-2020 08:00,169.5946667,10.107,0,,,,,,,,,
10-2-2020 08:00,179.702,10.107,0,7.379,12.175,6.295,4.773,0.758,4.25,36.330,42.6,56.8
11-2-2020 08:00,184.988,5.286,0,7.886,13.647,8.903,3.509,0.394,4.36,38.340,44,56
12-2-2020 08:00,187.286,2.298,0,8.116,11.629,9.277,1.815,0.196,3.14,28.715,41.1,58.1
13-2-2020 08:00,189.072,1.786,50,8.238,11.504,9.203,2.038,0.221,2.91,22.585,43.4,56
14-2-2020 08:00,191.316,2.244,100,8.126,11.087,9.024,1.805,0.200,2.65,21.652,44.2,55.2
15-2-2020 08:00,193.355,2.039,0,,,,,,,,,
16-2-2020 08:00,195.394,2.039,0,,,,,,,,,
17-2-2020 08:00,197.433,2.039,0,,,,,,,,,
18-2-2020 08:00,199.472,2.039,250,7.956,11.199,9.290,1.718,0.185,2.61,22.095,53.2,46.8
19-2-2020 08:00,204.1206667,4.649,0,,,,,,,,,
20-2-2020 08:00,208.7693333,4.649,0,,,,,,,,,
21-2-2020 08:00,213.418,4.649,0,,,,,,,,,
22-2-2020 08:00,218.0666667,4.649,0,,,,,,,,,
23-2-2020 08:00,222.7153333,4.649,0,,,,,,,,,
24-2-2020 08:00,227.364,4.649,180,7.835,10.962,9.196,1.462,0.159,2.43,27.965,56.3,43.7
25-2-2020 08:00,233.45,6.086,180,7.8,11.325,9.124,1.878,0.206,2.99,24.780,59.6,40.4
26-2-2020 08:00,240.96,7.510,270,7.762,11.586,9.035,2.179,0.241,3.07,27.035,60,40
27-2-2020 08:00,249.84,8.880,270,7.752,11.485,8.613,2.381,0.276,3.2,27.565,60.4,39.6
28-2-2020 08:00,260.842,11.002,360,7.838,11.759,8.781,2.443,0.278,3.38,29.965,59.6,40.4
29-2-2020 08:00,274.4526667,13.611,0,,,,,,,,,
1-3-2020 08:00,288.0633333,13.611,0,,,,,,,,,
2-3-2020 08:00,301.674,13.611,180,7.725,12.587,9.736,2.573,0.264,3.84,31.665,56.6,43.4
3-3-2020 08:00,312.982,11.308,180,7.844,12.859,10.112,2.280,0.225,3.75,25.990,58.9,41.1
4-3-2020 08:00,323.16,10.178,270,7.743,12.688,10.039,2.091,0.208,3.6,27.970,57.1,42.9
5-3-2020 08:00,333.48,10.320,270,7.858,12.838,10.135,2.252,0.222,3.58,25.005,58.9,41.1
6-3-2020 08:00,346.352,12.872,360,7.892,12.912,10.120,2.303,0.228,3.59,26.125,58.7,41.3
7-3-2020 08:00,359.3726667,13.021,0,,,,,,,,,
8-3-2020 08:00,372.3933333,13.021,0,,,,,,,,,
9-3-2020 08:00,385.414,13.021,210,7.78,13.507,10.883,2.238,0.206,3.71,28.520,59.9,40.1
10-3-2020 08:00,397.366,11.952,210,7.874,13.742,10.879,2.362,0.217,3.78,26.775,57.9,42.1
11-3-2020 08:00,409.542,12.176,315,7.896,13.651,11.251,1.875,0.167,3.59,26.877,57.5,42.5
12-3-2020 08:00,424.084,14.542,315,7.926,6.791,5.660,0.906,0.160,3.77,20.18,58.4,41.6
13-3-2020 08:00,439.962,15.878,420,7.915,6.919,5.694,1.041,0.183,3.82,38.01,58.4,41.6
14-3-2020 08:00,453.7973333,13.835,0,,,,,,,,,
15-3-2020 08:00,467.6326667,13.835,0,,,,,,,,,
16-3-2020 08:00,481.468,13.835,210,7.892,7.460,6.110,0.995,0.163,3.92,28.075,57.8,42.2
