Date,Vol,Voldif,Feed,pH,PA,IA,FOS/TAC,DS,COD,CO2,CH4
2-3-2020 08:00,301.674,13.611,120.000,7.725,9.736,2.573,0.264,3.840,31.665,56.600,43.400
3-3-2020 08:00,312.982,11.308,180.000,7.844,10.112,2.280,0.225,3.750,25.990,58.900,41.100
4-3-2020 08:00,323.160,10.178,180.000,7.743,10.039,2.091,0.208,3.600,27.970,57.100,42.900
5-3-2020 08:00,333.480,10.320,270.000,7.858,10.135,2.252,0.222,3.580,25.005,58.900,41.100
6-3-2020 08:00,346.352,12.872,270.000,7.892,10.120,2.303,0.228,3.590,26.125,58.700,41.300
7-3-2020 08:00,359.373,13.021,120.000,7.855,10.374,2.282,0.220,3.630,26.923,59.100,40.900
8-3-2020 08:00,372.393,13.021,120.000,7.817,10.629,2.260,0.213,3.670,27.722,59.500,40.500
9-3-2020 08:00,385.414,13.021,120.000,7.780,10.883,2.238,0.206,3.710,28.520,59.900,40.100
10-3-2020 08:00,397.366,11.952,210.000,7.874,10.879,2.362,0.217,3.780,26.775,57.900,42.100
11-3-2020 08:00,409.542,12.176,210.000,7.896,11.251,1.875,0.167,3.590,26.877,57.500,42.500
12-3-2020 08:00,424.084,14.542,315.000,7.926,5.660,0.906,0.160,3.770,20.180,58.400,41.600
13-3-2020 08:00,439.962,15.878,315.000,7.915,5.694,1.041,0.183,3.820,38.010,58.400,41.600
14-3-2020 08:00,453.797,13.835,140.000,7.907,5.833,1.025,0.176,3.853,34.698,58.200,41.800
15-3-2020 08:00,467.633,13.835,140.000,7.900,5.971,1.010,0.169,3.887,31.387,58.000,42.000
16-3-2020 08:00,481.468,13.835,140.000,7.892,6.110,0.995,0.163,3.920,28.075,57.800,42.200
17-3-2020 08:00,490.216,8.748,210.000,7.991,5.800,1.100,0.190,4.050,33.430,56.300,43.700
18-3-2020 08:00,504.184,13.968,210.000,8.038,6.500,0.500,0.077,3.580,28.300,52.800,47.200
19-3-2020 08:00,519.878,15.694,315.000,8.028,6.150,0.850,0.138,3.860,31.225,52.600,47.400
20-3-2020 08:00,536.824,16.946,315.000,8.020,5.650,0.850,0.150,3.820,35.835,52.100,47.900
21-3-2020 08:00,550.421,13.597,140.000,8.026,6.067,0.833,0.139,3.887,34.812,52.800,47.200
22-3-2020 08:00,564.019,13.597,140.000,8.032,6.483,0.817,0.127,3.953,33.788,53.500,46.500
23-3-2020 08:00,577.616,13.597,140.000,8.038,6.900,0.800,0.116,4.020,32.765,54.200,45.800
24-3-2020 08:00,588.344,10.728,210.000,8.049,6.750,0.850,0.126,3.850,29.720,52.400,47.600
25-3-2020 08:00,598.812,10.468,210.000,8.089,7.200,0.850,0.118,3.760,28.510,49.600,47.800
26-3-2020 08:00,610.226,11.414,315.000,8.125,8.500,0.700,0.082,3.440,30.410,49.200,50.200
27-3-2020 08:00,619.352,9.126,315.000,7.926,7.050,1.250,0.177,4.170,40.850,49.700,50.300
28-3-2020 08:00,626.489,7.137,70.000,7.918,7.500,1.033,0.142,4.247,39.417,51.733,48.267
29-3-2020 08:00,633.627,7.137,70.000,7.911,7.950,0.817,0.107,4.323,37.983,53.767,46.233
