Date,Vol,Voldif,Feed,pH,TA,PA,IA,FOS/TAC,DS,COD,CO2,CH4,Time
20-1-2020 08:00,68.390,0.000,100.000,8.134,23.989,15.363,8.051,0.524,8.390,46.310,57.000,43.000,0
21-1-2020 08:00,69.786,1.396,100.000,8.125,29.098,15.848,12.341,0.779,7.370,59.240,52.000,48.000,1
22-1-2020 08:00,71.630,1.844,150.000,8.070,21.808,16.372,4.994,0.305,7.750,56.055,53.000,47.000,2
23-1-2020 08:00,73.876,2.246,150.000,8.026,21.019,16.093,4.270,0.265,6.820,44.260,54.000,46.000,3
24-1-2020 08:00,76.584,2.708,200.000,8.104,19.804,15.370,4.138,0.269,6.440,51.380,55.700,44.300,4
25-1-2020 08:00,79.168,2.584,0.000,8.067,19.279,15.276,3.723,0.243,5.973,47.955,55.467,44.533,5
26-1-2020 08:00,81.752,2.584,0.000,8.031,18.754,15.181,3.307,0.218,5.507,44.529,55.233,44.767,6
27-1-2020 08:00,84.336,2.584,610.000,7.994,18.230,15.087,2.892,0.192,5.040,41.104,55.000,45.000,7
28-1-2020 08:00,88.142,3.806,610.000,7.951,15.271,12.271,2.454,0.200,4.420,40.550,62.400,37.600,8
29-1-2020 08:00,93.190,5.048,915.000,7.868,14.104,10.813,2.880,0.266,3.910,36.440,60.000,40.000,9
30-1-2020 08:00,101.124,7.934,915.000,7.782,13.085,8.640,3.757,0.435,3.880,39.814,68.600,31.400,10
31-1-2020 08:00,109.724,8.600,1220.000,7.538,11.760,6.845,4.212,0.615,3.670,38.440,71.000,29.000,11
1-2-2020 08:00,116.897,7.173,0.000,7.414,11.486,6.000,4.613,0.829,3.710,34.835,72.333,27.667,12
2-2-2020 08:00,124.071,7.173,0.000,7.290,11.213,5.155,5.014,1.043,3.750,31.230,73.667,26.333,13
3-2-2020 08:00,131.244,7.173,610.000,7.166,10.939,4.309,5.414,1.256,3.790,27.625,75.000,25.000,14
4-2-2020 08:00,137.430,6.186,610.000,7.105,10.303,3.724,5.462,1.467,3.630,37.550,69.000,31.000,15
5-2-2020 08:00,140.331,2.901,0.000,7.058,12.004,4.354,6.053,1.400,3.690,38.010,69.450,30.550,16
6-2-2020 08:00,143.232,2.901,0.000,7.010,13.704,4.983,6.645,1.333,3.750,38.470,69.900,30.100,17
7-2-2020 08:00,149.380,6.148,0.000,6.940,10.664,3.393,6.180,1.821,4.430,43.630,65.000,35.000,18
8-2-2020 08:00,159.487,10.107,0.000,7.086,11.168,4.360,5.711,1.467,4.370,41.197,57.533,42.267,19
9-2-2020 08:00,169.595,10.107,0.000,7.233,11.671,5.328,5.242,1.113,4.310,38.763,50.067,49.533,20
10-2-2020 08:00,179.702,10.107,0.000,7.379,12.175,6.295,4.773,0.758,4.250,36.330,42.600,56.800,21
11-2-2020 08:00,184.988,5.286,0.000,7.886,13.647,8.903,3.509,0.394,4.360,38.340,44.000,56.000,22
12-2-2020 08:00,187.286,2.298,0.000,8.116,11.629,9.277,1.815,0.196,3.140,28.715,41.100,58.100,23
13-2-2020 08:00,189.072,1.786,50.000,8.238,11.504,9.203,2.038,0.221,2.910,22.585,43.400,56.000,24
14-2-2020 08:00,191.316,2.244,100.000,8.126,11.087,9.024,1.805,0.200,2.650,21.652,44.200,55.200,25
15-2-2020 08:00,193.355,2.039,0.000,8.084,11.115,9.091,1.783,0.196,2.640,21.763,46.450,53.100,26
16-2-2020 08:00,195.394,2.039,0.000,8.041,11.143,9.157,1.761,0.192,2.630,21.874,48.700,51.000,27
17-2-2020 08:00,197.433,2.039,0.000,7.999,11.171,9.224,1.740,0.189,2.620,21.984,50.950,48.900,28
18-2-2020 08:00,199.472,2.039,250.000,7.956,11.199,9.290,1.718,0.185,2.610,22.095,53.200,46.800,29
19-2-2020 08:00,204.121,4.649,0.000,7.936,11.159,9.274,1.675,0.181,2.580,23.073,53.717,46.283,30
20-2-2020 08:00,208.769,4.649,0.000,7.916,11.120,9.259,1.633,0.176,2.550,24.052,54.233,45.767,31
21-2-2020 08:00,213.418,4.649,0.000,7.896,11.081,9.243,1.590,0.172,2.520,25.030,54.750,45.250,32
22-2-2020 08:00,218.067,4.649,0.000,7.875,11.041,9.227,1.547,0.168,2.490,26.008,55.267,44.733,33
23-2-2020 08:00,222.715,4.649,0.000,7.855,11.002,9.212,1.504,0.163,2.460,26.987,55.783,44.217,34
24-2-2020 08:00,227.364,4.649,180.000,7.835,10.962,9.196,1.462,0.159,2.430,27.965,56.300,43.700,35
25-2-2020 08:00,233.450,6.086,180.000,7.800,11.325,9.124,1.878,0.206,2.990,24.780,59.600,40.400,36
26-2-2020 08:00,240.960,7.510,270.000,7.762,11.586,9.035,2.179,0.241,3.070,27.035,60.000,40.000,37
27-2-2020 08:00,249.840,8.880,270.000,7.752,11.485,8.613,2.381,0.276,3.200,27.565,60.400,39.600,38
28-2-2020 08:00,260.842,11.002,360.000,7.838,11.759,8.781,2.443,0.278,3.380,29.965,59.600,40.400,39
29-2-2020 08:00,274.453,13.611,0.000,7.800,12.035,9.099,2.487,0.274,3.533,30.532,58.600,41.400,40
1-3-2020 08:00,288.063,13.611,0.000,7.763,12.311,9.418,2.530,0.269,3.687,31.098,57.600,42.400,41
2-3-2020 08:00,301.674,13.611,180.000,7.725,12.587,9.736,2.573,0.264,3.840,31.665,56.600,43.400,42
3-3-2020 08:00,312.982,11.308,180.000,7.844,12.859,10.112,2.280,0.225,3.750,25.990,58.900,41.100,43
4-3-2020 08:00,323.160,10.178,270.000,7.743,12.688,10.039,2.091,0.208,3.600,27.970,57.100,42.900,44
5-3-2020 08:00,333.480,10.320,270.000,7.858,12.838,10.135,2.252,0.222,3.580,25.005,58.900,41.100,45
6-3-2020 08:00,346.352,12.872,360.000,7.892,12.912,10.120,2.303,0.228,3.590,26.125,58.700,41.300,46
7-3-2020 08:00,359.373,13.021,0.000,7.855,13.110,10.374,2.282,0.220,3.630,26.923,59.100,40.900,47
8-3-2020 08:00,372.393,13.021,0.000,7.817,13.309,10.629,2.260,0.213,3.670,27.722,59.500,40.500,48
9-3-2020 08:00,385.414,13.021,210.000,7.780,13.507,10.883,2.238,0.206,3.710,28.520,59.900,40.100,49
10-3-2020 08:00,397.366,11.952,210.000,7.874,13.742,10.879,2.362,0.217,3.780,26.775,57.900,42.100,50
11-3-2020 08:00,409.542,12.176,315.000,7.896,13.651,11.251,1.875,0.167,3.590,26.877,57.500,42.500,51
12-3-2020 08:00,424.084,14.542,315.000,7.926,6.791,5.660,0.906,0.160,3.770,20.180,58.400,41.600,52
13-3-2020 08:00,439.962,15.878,420.000,7.915,6.919,5.694,1.041,0.183,3.820,38.010,58.400,41.600,53
14-3-2020 08:00,453.797,13.835,0.000,7.907,7.099,5.833,1.025,0.176,3.853,34.698,58.200,41.800,54
15-3-2020 08:00,467.633,13.835,0.000,7.900,7.279,5.971,1.010,0.169,3.887,31.387,58.000,42.000,55
16-3-2020 08:00,481.468,13.835,210.000,7.892,7.460,6.110,0.995,0.163,3.920,28.075,57.800,42.200,56
17-3-2020 08:00,490.216,8.748,210.000,7.991,7.050,5.800,1.100,0.190,4.050,33.430,56.300,43.700,57
18-3-2020 08:00,504.184,13.968,315.000,8.038,7.250,6.500,0.500,0.077,3.580,28.300,52.800,47.200,58
19-3-2020 08:00,519.878,15.694,315.000,8.028,7.300,6.150,0.850,0.138,3.860,31.225,52.600,47.400,59
20-3-2020 08:00,536.824,16.946,420.000,8.020,6.750,5.650,0.850,0.150,3.820,35.835,52.100,47.900,60
21-3-2020 08:00,550.421,13.597,0.000,8.026,7.133,6.067,0.833,0.139,3.887,34.812,52.800,47.200,61
22-3-2020 08:00,564.019,13.597,0.000,8.032,7.517,6.483,0.817,0.127,3.953,33.788,53.500,46.500,62
23-3-2020 08:00,577.616,13.597,210.000,8.038,7.900,6.900,0.800,0.116,4.020,32.765,54.200,45.800,63
24-3-2020 08:00,588.344,10.728,210.000,8.049,7.800,6.750,0.850,0.126,3.850,29.720,52.400,47.600,64
25-3-2020 08:00,598.812,10.468,315.000,8.089,8.250,7.200,0.850,0.118,3.760,28.510,49.600,47.800,65
26-3-2020 08:00,610.226,11.414,315.000,8.125,9.350,8.500,0.700,0.082,3.440,30.410,49.200,50.200,66
27-3-2020 08:00,619.352,9.126,210.000,7.926,8.550,7.050,1.250,0.177,4.170,40.850,49.700,50.300,67
28-3-2020 08:00,626.489,7.137,0.000,7.918,8.767,7.500,1.033,0.142,4.247,39.417,51.733,48.267,68
29-3-2020 08:00,633.627,7.137,0.000,7.911,8.983,7.950,0.817,0.107,4.323,37.983,53.767,46.233,69
30-3-2020 08:00,640.764,7.137,210.000,7.903,9.200,8.400,0.600,0.071,4.400,36.550,55.800,44.200,70
31-3-2020 08:00,650.212,9.448,210.000,7.894,8.100,7.000,0.900,0.129,4.150,42.400,56.800,43.200,71
1-4-2020 08:00,660.410,10.198,210.000,7.815,7.600,6.250,1.150,0.184,4.250,33.825,55.500,44.500,72
2-4-2020 08:00,671.316,10.906,210.000,7.815,8.050,6.450,1.200,0.186,3.900,39.470,57.000,43.000,73
3-4-2020 08:00,683.458,12.142,210.000,7.822,7.400,6.100,1.150,0.189,4.270,36.960,59.200,40.800,74
4-4-2020 08:00,692.813,9.355,0.000,7.850,7.038,5.692,1.163,0.207,4.243,35.937,56.500,43.500,75
5-4-2020 08:00,702.167,9.355,0.000,7.879,6.675,5.283,1.175,0.225,4.217,34.913,53.800,46.200,76
6-4-2020 08:00,711.522,9.355,210.000,7.907,6.313,4.875,1.188,0.244,4.190,33.890,51.100,48.900,77
7-4-2020 08:00,722.864,11.342,210.000,8.070,7.800,6.250,1.250,0.200,4.150,32.850,51.800,48.200,78
8-4-2020 08:00,733.776,10.912,315.000,8.085,7.200,5.900,1.000,0.169,4.150,41.100,52.300,47.700,79
9-4-2020 08:00,745.542,11.766,315.000,8.077,7.450,5.750,1.350,0.235,4.070,37.040,55.100,44.900,80
10-4-2020 08:00,757.110,11.568,420.000,8.028,6.800,5.000,1.500,0.300,4.080,48.025,54.000,46.000,81
11-4-2020 08:00,769.545,12.435,0.000,8.037,7.017,5.250,1.450,0.278,4.233,47.540,55.500,44.500,82
12-4-2020 08:00,781.979,12.435,0.000,8.046,7.233,5.500,1.400,0.257,4.387,47.055,57.000,43.000,83
13-4-2020 08:00,794.414,12.435,210.000,8.055,7.450,5.750,1.350,0.235,4.540,46.570,58.500,41.500,84
14-4-2020 08:00,809.262,14.848,210.000,8.011,7.400,5.500,1.500,0.273,4.190,34.060,57.600,42.400,85
15-4-2020 08:00,824.274,15.012,315.000,8.020,7.800,5.650,1.750,0.310,4.110,39.880,53.600,46.400,86
16-4-2020 08:00,839.868,15.594,315.000,8.026,6.950,4.950,1.550,0.313,4.130,33.680,55.100,44.900,87
17-4-2020 08:00,855.602,15.734,420.000,8.026,7.600,5.300,1.900,0.358,4.090,32.330,55.400,44.600,88
18-4-2020 08:00,868.053,12.451,0.000,8.077,7.667,5.567,1.700,0.310,4.103,35.737,53.200,46.800,89
19-4-2020 08:00,880.503,12.451,0.000,8.129,7.733,5.833,1.500,0.262,4.117,39.143,51.000,49.000,90
20-4-2020 08:00,892.954,12.451,210.000,8.180,7.800,6.100,1.300,0.213,4.130,42.550,48.800,51.200,91
21-4-2020 08:00,904.244,11.290,210.000,8.129,6.650,5.200,1.200,0.231,3.910,29.940,52.700,47.300,92
22-4-2020 08:00,915.722,11.478,315.000,8.101,6.500,4.950,1.200,0.242,3.940,35.740,53.500,46.500,93
23-4-2020 08:00,928.170,12.448,315.000,8.023,8.100,6.050,1.650,0.273,4.000,32.720,55.900,44.100,94
24-4-2020 08:00,941.476,13.306,420.000,8.007,7.550,5.400,1.750,0.324,4.040,42.260,58.100,41.900,95
25-4-2020 08:00,953.085,11.609,0.000,8.034,7.600,5.467,1.717,0.314,4.180,42.858,56.100,43.900,96
26-4-2020 08:00,964.695,11.609,0.000,8.062,7.650,5.533,1.683,0.304,4.320,43.457,54.100,45.900,97
27-4-2020 08:00,976.304,11.609,210.000,8.089,7.700,5.600,1.650,0.295,4.460,44.055,52.100,47.900,98
28-4-2020 08:00,989.378,13.074,210.000,8.050,7.400,5.450,1.650,0.303,4.270,32.220,59.000,41.000,99
29-4-2020 08:00,1002.826,13.448,315.000,8.045,7.350,5.400,1.600,0.296,4.130,33.530,58.900,41.100,100
30-4-2020 08:00,1016.836,14.010,315.000,8.004,8.000,5.800,1.700,0.293,4.190,34.640,58.700,41.300,101
1-5-2020 08:00,1030.890,14.054,420.000,7.968,8.350,5.900,2.000,0.339,4.210,35.290,59.800,40.200,102
2-5-2020 08:00,1047.021,16.131,0.000,7.916,8.000,5.483,2.067,0.384,4.287,39.553,61.200,38.800,103
3-5-2020 08:00,1063.153,16.131,0.000,7.865,7.650,5.067,2.133,0.428,4.363,43.817,62.600,37.400,104
4-5-2020 08:00,1079.284,16.131,210.000,7.813,7.300,4.650,2.200,0.473,4.440,48.080,64.000,36.000,105
5-5-2020 08:00,1093.172,13.888,210.000,7.832,7.750,4.850,2.300,0.474,4.110,34.140,55.000,45.000,106
6-5-2020 08:00,1105.058,11.886,315.000,7.816,7.000,4.350,2.100,0.483,4.040,35.030,53.000,47.000,107
7-5-2020 08:00,1117.330,12.272,315.000,7.817,6.000,3.750,1.750,0.467,4.110,35.260,54.900,45.100,108
8-5-2020 08:00,1129.300,11.970,420.000,7.811,7.100,4.350,2.250,0.517,4.050,33.730,56.300,43.700,109
9-5-2020 08:00,1135.325,6.025,0.000,7.845,7.317,4.483,2.283,0.510,4.090,33.918,55.167,44.833,110
10-5-2020 08:00,1141.349,6.025,0.000,7.878,7.533,4.617,2.317,0.502,4.130,34.107,54.033,45.967,111
11-5-2020 08:00,1147.374,6.025,210.000,7.912,7.750,4.750,2.350,0.495,4.170,34.295,52.900,47.100,112
12-5-2020 08:00,1157.760,10.386,210.000,7.824,7.450,4.600,2.250,0.489,4.000,43.180,56.900,43.100,113
13-5-2020 08:00,1158.722,0.962,315.000,7.792,8.000,4.800,2.650,0.552,4.050,49.250,59.600,40.400,114
